,HBASE_ROW_KEY,City,Date,Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
0,Ahmedabad_20150101,Ahmedabad,20150101,1420050600,,,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,,
1,Ahmedabad_20150102,Ahmedabad,20150102,1420137000,,,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,,
2,Ahmedabad_20150103,Ahmedabad,20150103,1420223400,,,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,,
3,Ahmedabad_20150104,Ahmedabad,20150104,1420309800,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1,,
4,Ahmedabad_20150105,Ahmedabad,20150105,1420396200,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,
5,Ahmedabad_20150106,Ahmedabad,20150106,1420482600,,,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,,
6,Ahmedabad_20150107,Ahmedabad,20150107,1420569000,,,112.16,40.62,130.77,,112.16,32.28,33.47,0,0,0,,
7,Ahmedabad_20150108,Ahmedabad,20150108,1420655400,,,80.87,36.74,96.75,,80.87,38.54,31.89,0,0,0,,
8,Ahmedabad_20150109,Ahmedabad,20150109,1420741800,,,29.16,31,48,,29.16,58.68,25.75,0,0,0,,
9,Ahmedabad_20150110,Ahmedabad,20150110,1420828200,,,,7.04,0,,,8.29,4.55,0,0,0,,
10,Ahmedabad_20150111,Ahmedabad,20150111,1420914600,,,132.07,55.8,24.53,,132.07,25.03,6.79,0,0,0,,
11,Ahmedabad_20150112,Ahmedabad,20150112,1421001000,,,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,,
12,Ahmedabad_20150113,Ahmedabad,20150113,1421087400,,,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,,
13,Ahmedabad_20150114,Ahmedabad,20150114,1421173800,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,
14,Ahmedabad_20150115,Ahmedabad,20150115,1421260200,,,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,,
15,Ahmedabad_20150116,Ahmedabad,20150116,1421346600,,,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,,
16,Ahmedabad_20150117,Ahmedabad,20150117,1421433000,,,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27,,
17,Ahmedabad_20150118,Ahmedabad,20150118,1421519400,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,
18,Ahmedabad_20150119,Ahmedabad,20150119,1421605800,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,
19,Ahmedabad_20150120,Ahmedabad,20150120,1421692200,,,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,,
20,Ahmedabad_20150121,Ahmedabad,20150121,1421778600,,,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65,,
21,Ahmedabad_20150122,Ahmedabad,20150122,1421865000,,,9.05,17.51,22.33,,9.05,23.71,42.22,0,0,4.51,,
22,Ahmedabad_20150123,Ahmedabad,20150123,1421951400,,,22.53,27.96,47.79,,22.53,39.19,32.92,0.39,0,5.95,,
23,Ahmedabad_20150124,Ahmedabad,20150124,1422037800,,,2.03,20.39,21.4,,2.03,40.07,32.49,0.47,0.7,1.54,,
24,Ahmedabad_20150125,Ahmedabad,20150125,1422124200,,,1.42,20.43,20.19,,1.42,58.41,39.26,0.01,0,0.94,,
25,Ahmedabad_20150126,Ahmedabad,20150126,1422210600,,,2.27,21.16,21.81,,2.27,43.73,39.83,0.06,0,1.55,,
26,Ahmedabad_20150127,Ahmedabad,20150127,1422297000,,,2.19,21.7,23.26,,2.19,43.28,41.1,0.02,0,1.65,,
27,Ahmedabad_20150128,Ahmedabad,20150128,1422383400,73.24,,5.72,21.11,25.84,,5.72,36.52,62.42,0.03,0.01,1.41,,
28,Ahmedabad_20150129,Ahmedabad,20150129,1422469800,83.13,,6.93,28.71,33.72,,6.93,49.52,59.76,0.02,0,3.14,209,Poor
29,Ahmedabad_20150130,Ahmedabad,20150130,1422556200,79.84,,13.85,28.68,41.08,,13.85,48.49,97.07,0.04,0,4.81,328,Very Poor
30,Ahmedabad_20150131,Ahmedabad,20150131,1422642600,94.52,,24.39,32.66,52.61,,24.39,67.39,111.33,0.24,0.01,7.67,514,Severe
31,Ahmedabad_20150201,Ahmedabad,20150201,1422729000,135.99,,43.48,42.08,84.57,,43.48,75.23,102.7,0.4,0.04,25.87,782,Severe
32,Ahmedabad_20150202,Ahmedabad,20150202,1422815400,178.33,,54.56,35.31,72.8,,54.56,55.04,107.38,0.46,0.06,35.61,914,Severe
33,Ahmedabad_20150203,Ahmedabad,20150203,1422901800,139.7,,30.61,28.4,56.73,,30.61,33.79,73.6,0.17,0.03,11.87,660,Severe
34,Ahmedabad_20150204,Ahmedabad,20150204,1422988200,80.65,,2.37,22.83,24,,2.37,25.73,47.3,0,0,0,294,Poor
35,Ahmedabad_20150205,Ahmedabad,20150205,1423074600,58.36,,2.6,21.39,23.31,,2.6,32.66,53.54,0,0,0,149,Moderate
36,Ahmedabad_20150206,Ahmedabad,20150206,1423161000,79.29,,1.16,26.94,26.83,,1.16,67.41,59.3,0,0,0,190,Moderate
37,Ahmedabad_20150207,Ahmedabad,20150207,1423247400,88.7,,7.29,31.32,37.73,,7.29,80.09,44.76,0,0,0,247,Poor
38,Ahmedabad_20150208,Ahmedabad,20150208,1423333800,74.28,,8.92,27.3,33.42,,8.92,54.28,47.42,0,0,0.27,379,Very Poor
39,Ahmedabad_20150209,Ahmedabad,20150209,1423420200,113.93,,4.32,24.27,26.86,,4.32,48.73,39.94,0.02,0,3.55,341,Very Poor
40,Ahmedabad_20150210,Ahmedabad,20150210,1423506600,105.39,,1.41,18.21,18.75,,1.41,35.91,56.15,0,0,3.31,256,Poor
41,Ahmedabad_20150211,Ahmedabad,20150211,1423593000,66.52,,6.34,23.8,28.24,,6.34,66.58,53.14,9.7,9.63,16.49,388,Very Poor
42,Ahmedabad_20150212,Ahmedabad,20150212,1423679400,65.04,,14.19,30.1,44.21,,14.19,65.91,31.88,7.72,17.46,2.51,288,Poor
43,Ahmedabad_20150213,Ahmedabad,20150213,1423765800,103.36,,18.18,39.56,57.33,,18.18,80.43,40.11,11.29,24.35,3.35,510,Severe
44,Ahmedabad_20150214,Ahmedabad,20150214,1423852200,177.33,,37.49,47.58,77.85,,37.49,99.72,36.47,17,52.66,6.98,761,Severe
45,Ahmedabad_20150215,Ahmedabad,20150215,1423938600,113.25,,15.55,30.5,44.87,,15.55,69.71,33.78,10.47,28.53,3.22,475,Severe
46,Ahmedabad_20150216,Ahmedabad,20150216,1424025000,99.7,,19.85,28.1,47.31,,19.85,73.23,30.57,10.28,31.25,4,536,Severe
47,Ahmedabad_20150217,Ahmedabad,20150217,1424111400,80.61,,15.96,21.04,35.67,,15.96,54.7,36.2,8.14,18.75,2.52,479,Severe
48,Ahmedabad_20150218,Ahmedabad,20150218,1424197800,100.79,,16.24,25.93,41.91,,16.24,43.11,37.43,10,32.41,4.04,592,Severe
49,Ahmedabad_20150219,Ahmedabad,20150219,1424284200,107.99,,11.25,30.09,40.47,,11.25,84.86,31.94,9.2,24.03,3.25,427,Severe
50,Ahmedabad_20150220,Ahmedabad,20150220,1424370600,140.29,,33.84,36.14,68.85,,33.84,101.53,40.98,20.12,43.51,7.48,588,Severe
51,Ahmedabad_20150221,Ahmedabad,20150221,1424457000,239.96,,61.95,46.25,106.92,,61.95,84.87,33.55,22.14,53.98,15.44,"1,141.00",Severe
52,Ahmedabad_20150222,Ahmedabad,20150222,1424543400,142.96,,45.45,48.21,92.32,,45.45,62.96,34.77,7.35,22.4,8.47,669,Severe
53,Ahmedabad_20150223,Ahmedabad,20150223,1424629800,238.41,,77.7,55.07,131.32,,77.7,89.07,37.3,50.61,163.64,28.46,"1,247.00",Severe
54,Ahmedabad_20150224,Ahmedabad,20150224,1424716200,118.72,,12.56,32.01,42.56,,12.56,61.54,38.8,16.89,46.52,6.05,411,Severe
55,Ahmedabad_20150225,Ahmedabad,20150225,1424802600,52.99,,2.23,10.45,10.39,,2.23,32.76,67.25,3.85,11.39,0.81,292,Poor
56,Ahmedabad_20150226,Ahmedabad,20150226,1424889000,,,,,,,,,,,,,,
57,Ahmedabad_20150227,Ahmedabad,20150227,1424975400,,,,,,,,,,,,,,
58,Ahmedabad_20150228,Ahmedabad,20150228,1425061800,,,,,,,,,,,,,,
59,Ahmedabad_20150301,Ahmedabad,20150301,1425148200,61.12,,3.58,16.81,20.92,,3.58,28.44,30.48,2.69,1.58,1.32,,
60,Ahmedabad_20150302,Ahmedabad,20150302,1425234600,60.78,,9.07,18.21,27.34,,9.07,29.48,34.75,2.05,0.55,0.22,189,Moderate
61,Ahmedabad_20150303,Ahmedabad,20150303,1425321000,91.83,,12.99,28.71,40.76,,12.99,39.71,38.46,2.69,1.74,2.25,408,Severe
62,Ahmedabad_20150304,Ahmedabad,20150304,1425407400,93.88,,18.21,29.38,47.01,,18.21,62.75,46.79,5.21,2.55,1.55,383,Very Poor
63,Ahmedabad_20150305,Ahmedabad,20150305,1425493800,173.01,,48.44,42.27,90.73,,48.44,78.76,59.39,9.72,9.96,4.13,780,Severe
64,Ahmedabad_20150306,Ahmedabad,20150306,1425580200,,,,,,,,,,,,,,
65,Ahmedabad_20150307,Ahmedabad,20150307,1425666600,105.45,,2.5,16.1,18.66,,2.5,29.29,69.9,17.77,5.75,0.39,,
66,Ahmedabad_20150308,Ahmedabad,20150308,1425753000,71.56,,3.51,16.83,20.32,,3.51,30.28,57.16,3.95,8.01,0.63,190,Moderate
67,Ahmedabad_20150309,Ahmedabad,20150309,1425839400,119.8,,4.13,24.07,27.9,,4.13,50.35,50.49,4.85,12.15,1.35,233,Poor
68,Ahmedabad_20150310,Ahmedabad,20150310,1425925800,106.71,,5.39,25.59,30.51,,5.39,38.85,60.17,5.58,14.17,1.74,297,Poor
69,Ahmedabad_20150311,Ahmedabad,20150311,1426012200,118.49,,4.11,28.94,31.83,,4.11,54.2,53.61,7.9,21.32,2.78,330,Very Poor
70,Ahmedabad_20150312,Ahmedabad,20150312,1426098600,106.01,,4.28,27.31,30.54,,4.28,70.29,40.91,9.45,15.54,1.71,252,Poor
71,Ahmedabad_20150313,Ahmedabad,20150313,1426185000,97.34,,3.67,21.58,24.62,,3.67,64.39,45.69,5.61,15.02,2.25,244,Poor
72,Ahmedabad_20150314,Ahmedabad,20150314,1426271400,83.92,,6.42,25.03,30.8,,6.42,67.53,34.94,8.24,21.47,3.09,234,Poor
73,Ahmedabad_20150315,Ahmedabad,20150315,1426357800,49.51,,3.1,14.16,16.15,,3.1,48.33,37.95,4.34,11.34,1.09,219,Poor
74,Ahmedabad_20150316,Ahmedabad,20150316,1426444200,30.76,,2.72,14.14,16.98,,2.72,43.62,54.78,3.58,9.38,0.84,118,Moderate
75,Ahmedabad_20150317,Ahmedabad,20150317,1426530600,50.29,,5.34,29.84,33.28,,5.34,59.23,45.44,5.45,15.12,1.65,231,Poor
76,Ahmedabad_20150318,Ahmedabad,20150318,1426617000,57.69,,25.36,29.48,54.79,,25.36,58.33,52.87,9.55,32.11,4.53,286,Poor
77,Ahmedabad_20150319,Ahmedabad,20150319,1426703400,105.06,,46.24,37.05,82.23,,46.24,53.62,45.65,20.89,75.36,12.7,883,Severe
78,Ahmedabad_20150320,Ahmedabad,20150320,1426789800,94.1,,22.14,36.53,57.49,,22.14,61.31,46.77,17.5,52.01,7.9,720,Severe
79,Ahmedabad_20150321,Ahmedabad,20150321,1426876200,111.89,,22.25,43.29,64.53,,22.25,66.44,50.57,18.03,56.86,8.86,570,Severe
80,Ahmedabad_20150322,Ahmedabad,20150322,1426962600,108.59,,25.38,39.34,63.01,,25.38,75.8,46.68,15.78,48.41,7.07,589,Severe
81,Ahmedabad_20150323,Ahmedabad,20150323,1427049000,130.76,,45.61,41.03,85.76,,45.61,65.77,41.58,24.12,85.31,12.56,818,Severe
82,Ahmedabad_20150324,Ahmedabad,20150324,1427135400,143.55,,27.3,31.15,57.16,,27.3,50.98,35.38,18.61,72.78,10.15,737,Severe
83,Ahmedabad_20150325,Ahmedabad,20150325,1427221800,165.07,,23.83,34.48,57.71,,23.83,64.32,43.79,29.14,64.01,8.51,585,Severe
84,Ahmedabad_20150326,Ahmedabad,20150326,1427308200,166.85,,17.93,43.3,60.07,,17.93,79.71,53.44,24.09,67.38,9.76,616,Severe
85,Ahmedabad_20150327,Ahmedabad,20150327,1427394600,147.38,,6.4,35.82,40.22,,6.4,46.89,17.94,14.23,41.88,5.7,437,Severe
86,Ahmedabad_20150328,Ahmedabad,20150328,1427481000,158.25,,5.86,27.89,32.65,,5.86,142.36,38.54,13.67,21.24,2.83,321,Very Poor
87,Ahmedabad_20150329,Ahmedabad,20150329,1427567400,237.76,,4.99,21.8,25.37,,4.99,96.28,39.77,8.68,14.95,1.28,372,Very Poor
88,Ahmedabad_20150330,Ahmedabad,20150330,1427653800,133.37,,3.88,17.99,21.02,,3.88,57.34,39.66,5.76,11.74,1.04,339,Very Poor
89,Ahmedabad_20150331,Ahmedabad,20150331,1427740200,133.3,,6.52,20,26.18,,6.52,51.58,59.03,9.94,21.13,2.31,339,Very Poor
90,Ahmedabad_20150401,Ahmedabad,20150401,1427826600,96.04,,3.8,20.07,23.46,,3.8,62.42,46.61,7.54,13.44,1.65,324,Very Poor
91,Ahmedabad_20150402,Ahmedabad,20150402,1427913000,77.69,,5.24,18.87,23.06,,5.24,100.48,27.14,9.49,11.77,1.6,222,Poor
92,Ahmedabad_20150403,Ahmedabad,20150403,1427999400,53.07,,4.17,13.82,17.45,,4.17,40.36,21.76,4.47,6.94,0.42,169,Moderate
93,Ahmedabad_20150404,Ahmedabad,20150404,1428085800,63.11,,5.63,15.5,18.49,,5.63,38.21,4.72,5.2,8.17,0.73,220,Poor
94,Ahmedabad_20150405,Ahmedabad,20150405,1428172200,156.76,,3.92,16.7,20.97,,3.92,26.32,37.11,3.88,10.78,0.97,,
95,Ahmedabad_20150406,Ahmedabad,20150406,1428258600,120.96,,4.23,20.86,25.02,,4.23,35.54,35.66,6.05,15.85,1.68,303,Very Poor
96,Ahmedabad_20150407,Ahmedabad,20150407,1428345000,138.63,,5.65,25.47,30.67,,5.65,87.43,29.77,11.25,24.67,3.12,314,Very Poor
97,Ahmedabad_20150408,Ahmedabad,20150408,1428431400,144.36,,15.82,30.69,46.1,,15.82,66.39,27.34,17.22,49.56,7.71,378,Very Poor
98,Ahmedabad_20150409,Ahmedabad,20150409,1428517800,85.03,,3.3,26.7,27.41,,3.3,59.16,35.89,7.58,29.19,4.08,415,Severe
99,Ahmedabad_20150410,Ahmedabad,20150410,1428604200,134.6,,5.9,26.27,28.7,,5.9,34.53,7,0,0,0,,
100,Ahmedabad_20150411,Ahmedabad,20150411,1428690600,61.06,,3.52,14.03,17.59,,3.52,8.08,19.54,0,0,0.01,126,Moderate
101,Ahmedabad_20150412,Ahmedabad,20150412,1428777000,39.42,,5.28,19.56,24.66,,5.28,17.66,31.3,0,0,0,175,Moderate
102,Ahmedabad_20150413,Ahmedabad,20150413,1428863400,111.86,,3.89,22.51,25.17,,3.89,15.84,31.23,0,0,0,226,Poor
103,Ahmedabad_20150414,Ahmedabad,20150414,1428949800,58.37,,5.74,21.71,27.69,,5.74,25.9,43.92,2.15,10.46,5.4,244,Poor
104,Ahmedabad_20150415,Ahmedabad,20150415,1429036200,95.37,,18.01,26.23,44.34,,18.01,13.59,41.64,1.21,3.28,20.78,315,Very Poor
105,Ahmedabad_20150416,Ahmedabad,20150416,1429122600,141.3,,30.8,36.88,66.53,,30.8,41.06,37.66,0.66,0.01,28.13,678,Severe
106,Ahmedabad_20150417,Ahmedabad,20150417,1429209000,106.68,,19.91,46.38,54.77,,19.91,31.56,48.49,1.67,0,15.95,774,Severe
107,Ahmedabad_20150418,Ahmedabad,20150418,1429295400,109.48,,4.3,20.27,22.86,,4.3,46.6,31.34,0.05,0,6.19,285,Poor
108,Ahmedabad_20150419,Ahmedabad,20150419,1429381800,126.04,,6.99,20.18,26.78,,6.99,79.56,28.71,0.2,0,6.4,321,Very Poor
109,Ahmedabad_20150420,Ahmedabad,20150420,1429468200,71.22,,16.73,21.32,37.58,,16.73,50.09,28.39,1.38,23.54,6.09,358,Very Poor
110,Ahmedabad_20150421,Ahmedabad,20150421,1429554600,97.87,,6.3,17.96,23.45,,6.3,13.85,34.16,0.21,4.91,2.95,357,Very Poor
111,Ahmedabad_20150422,Ahmedabad,20150422,1429641000,63.38,,3.44,13.28,15.44,,3.44,24.79,43.62,0,0,1.23,189,Moderate
112,Ahmedabad_20150423,Ahmedabad,20150423,1429727400,75.29,,3.35,14.29,17.97,,3.35,76.05,60.71,0,0.01,2.27,,
113,Ahmedabad_20150424,Ahmedabad,20150424,1429813800,80.9,,5.7,18.62,24.23,,5.7,65.44,22.8,0.05,0.09,3.46,214,Poor
114,Ahmedabad_20150425,Ahmedabad,20150425,1429900200,103.29,,4.55,19.82,23.69,,4.55,85.42,22.18,0.06,1.17,2.58,253,Poor
115,Ahmedabad_20150426,Ahmedabad,20150426,1429986600,107.5,,5.29,15.56,19.73,,5.29,74.37,10.12,0.09,0.16,2.91,239,Poor
116,Ahmedabad_20150427,Ahmedabad,20150427,1430073000,161.14,,3.11,14.77,16.12,,3.11,118.35,59.73,0,2.55,0,,
117,Ahmedabad_20150428,Ahmedabad,20150428,1430159400,102.58,,3.88,12.74,16.82,,3.88,41.94,26.89,0.02,6.4,0.76,,
118,Ahmedabad_20150429,Ahmedabad,20150429,1430245800,138.42,,5.05,16.7,21.56,,5.05,77.74,27.18,0.01,0.88,2.01,300,Poor
119,Ahmedabad_20150430,Ahmedabad,20150430,1430332200,129.04,,5.69,14.86,19.66,,5.69,78.27,18.67,0,0,1.54,317,Very Poor
120,Ahmedabad_20150501,Ahmedabad,20150501,1430418600,96.65,,4.67,15.9,20.53,,4.67,39.41,11.83,0.01,0,3.11,240,Poor
121,Ahmedabad_20150502,Ahmedabad,20150502,1430505000,126.77,,15.69,23.93,39.73,,15.69,93.18,36.71,0.22,0.04,10,344,Very Poor
122,Ahmedabad_20150503,Ahmedabad,20150503,1430591400,106.15,,13.12,23.02,35.05,,13.12,65.95,81.6,0.3,0.02,9.69,503,Severe
123,Ahmedabad_20150504,Ahmedabad,20150504,1430677800,86.31,,2.69,10.5,10.9,,2.69,50.13,90.54,0.47,0.15,12.8,308,Very Poor
124,Ahmedabad_20150505,Ahmedabad,20150505,1430764200,83.99,,2.73,0.08,2.75,,2.73,34.06,69.57,0.28,0.05,8.97,227,Poor
125,Ahmedabad_20150506,Ahmedabad,20150506,1430850600,65.11,,3.14,4.58,6.75,,3.14,22.27,32.26,0.17,0.04,5.84,120,Moderate
126,Ahmedabad_20150507,Ahmedabad,20150507,1430937000,51.03,,6.24,20.47,26.2,,6.24,15.5,31.44,0,0,1.29,158,Moderate
127,Ahmedabad_20150508,Ahmedabad,20150508,1431023400,38.73,,8,19.28,26.61,,8,20.13,25.7,0,0,2.08,177,Moderate
128,Ahmedabad_20150509,Ahmedabad,20150509,1431109800,61.12,,9.94,17.82,27.18,,9.94,39.69,25.9,0,0,3.49,201,Poor
129,Ahmedabad_20150510,Ahmedabad,20150510,1431196200,58.44,,10.68,17.24,27.38,,10.68,54.69,18.89,0,0,1.39,211,Poor
130,Ahmedabad_20150511,Ahmedabad,20150511,1431282600,61.49,,11.44,16.69,27.61,,11.44,42.66,18.2,0.01,0,2.59,221,Poor
131,Ahmedabad_20150512,Ahmedabad,20150512,1431369000,65.39,,12.3,16.08,27.86,,12.3,27.96,22.35,0,0,2.29,233,Poor
132,Ahmedabad_20150513,Ahmedabad,20150513,1431455400,100.92,,20.42,18.9,37.83,,20.42,31.9,22.84,4.9,19.26,8.21,481,Severe
133,Ahmedabad_20150514,Ahmedabad,20150514,1431541800,97.48,,5.31,30.02,33.62,,5.31,36.05,16.26,10.6,34.91,3.85,352,Very Poor
134,Ahmedabad_20150515,Ahmedabad,20150515,1431628200,129.27,,14.28,28.33,41.92,,14.28,70.13,25.4,16.9,44.19,4.97,327,Very Poor
135,Ahmedabad_20150516,Ahmedabad,20150516,1431714600,129.58,,21.23,28.79,45.4,,21.23,17.66,34.42,20.53,85.73,11.56,577,Severe
136,Ahmedabad_20150517,Ahmedabad,20150517,1431801000,100.57,,7.56,18.79,24.33,,7.56,38.76,38.83,4.92,17.94,1.54,411,Severe
137,Ahmedabad_20150518,Ahmedabad,20150518,1431887400,130.34,,7.14,17.43,23.72,,7.14,52.07,29.05,5.05,14,1.3,212,Poor
138,Ahmedabad_20150519,Ahmedabad,20150519,1431973800,53.24,,8.05,15.86,23.34,,8.05,36.23,21.58,5.23,15,1.02,280,Poor
139,Ahmedabad_20150520,Ahmedabad,20150520,1432060200,42,,10.44,18.16,21.8,,10.44,17,25.5,0,0,0,162,Moderate
140,Ahmedabad_20150521,Ahmedabad,20150521,1432146600,50.1,,9.46,14.9,22.5,,9.46,30.67,12.91,0.41,1.89,1.44,,
141,Ahmedabad_20150522,Ahmedabad,20150522,1432233000,83.69,,10.89,17.18,27.15,,10.89,41.12,35.61,12.62,20.2,17.84,569,Severe
142,Ahmedabad_20150523,Ahmedabad,20150523,1432319400,38.88,,2.18,16.28,17.74,,2.18,26.4,12.47,3,6.96,6.37,128,Moderate
143,Ahmedabad_20150524,Ahmedabad,20150524,1432405800,46.89,,2.96,16.17,18.49,,2.96,41.96,10.74,3.41,8.87,3.53,129,Moderate
144,Ahmedabad_20150525,Ahmedabad,20150525,1432492200,70.96,,4.12,15.47,19.28,,4.12,23.67,16.01,3.72,8.13,4.06,152,Moderate
145,Ahmedabad_20150526,Ahmedabad,20150526,1432578600,53.66,,4.23,14.43,18.06,,4.23,14.46,45.64,2.39,6.4,3.53,176,Moderate
146,Ahmedabad_20150527,Ahmedabad,20150527,1432665000,45.49,,4.26,13.73,17.1,,4.26,12.85,71.85,2.5,5.96,3.36,167,Moderate
147,Ahmedabad_20150528,Ahmedabad,20150528,1432751400,60.86,,5.27,16.61,21.42,,5.27,14.91,41.19,3.03,9.18,6.54,106,Moderate
148,Ahmedabad_20150529,Ahmedabad,20150529,1432837800,51.93,,13.71,17.87,31.64,,13.71,15.33,12.88,6.32,19.17,10.57,231,Poor
149,Ahmedabad_20150530,Ahmedabad,20150530,1432924200,77.87,,6.67,17.12,23,,6.67,46.82,16.67,4.79,9.78,5.1,327,Very Poor
150,Ahmedabad_20150531,Ahmedabad,20150531,1433010600,57.59,,5.6,15.47,20.42,,5.6,41.68,25.51,2.64,6.3,3.08,174,Moderate
151,Ahmedabad_20150601,Ahmedabad,20150601,1433097000,77.22,,7.02,15.47,21.13,,7.02,71.97,9.56,3.74,8.45,1.17,185,Moderate
152,Ahmedabad_20150602,Ahmedabad,20150602,1433183400,45.29,,7.25,12.74,19.66,,7.25,18.64,6.32,2.73,6.99,0.76,179,Moderate
153,Ahmedabad_20150603,Ahmedabad,20150603,1433269800,103.78,,6.36,13.9,19.86,,6.36,7.76,15.27,0.82,1.37,0.81,211,Poor
